DATABASE_ID,NAME,SET,CLASS,COST,RARITY,TYPE,INGAME_ID
57546,Hand of A'dal,Ashes of Outland,PALADIN,2,COMMON,SPELL,BT_292
56482,Imprisoned Felmaw,Ashes of Outland,HUNTER,2,COMMON,MINION,BT_211
56451,"Zixor, Apex Predator",Ashes of Outland,HUNTER,3,LEGENDARY,MINION,BT_210
56697,Scrap Shot,Ashes of Outland,HUNTER,4,RARE,SPELL,BT_205
56484,Pack Tactics,Ashes of Outland,HUNTER,2,RARE,SPELL,BT_203
56483,Helboar,Ashes of Outland,HUNTER,1,COMMON,MINION,BT_202
56398,Augmented Porcupine,Ashes of Outland,HUNTER,3,EPIC,MINION,BT_201
57149,Unstable Felbolt,Ashes of Outland,WARLOCK,1,COMMON,SPELL,BT_199
57160,Soul Mirror,Ashes of Outland,PRIEST,7,LEGENDARY,SPELL,BT_198
57166,Reliquary of Souls,Ashes of Outland,PRIEST,1,LEGENDARY,MINION,BT_197
57326,Keli'dan the Breaker,Ashes of Outland,WARLOCK,6,LEGENDARY,MINION,BT_196
57907,Replicat-o-tron,Ashes of Outland,NEUTRAL,4,EPIC,MINION,BT_190
57979,Shadowjeweler Hanar,Ashes of Outland,ROGUE,2,LEGENDARY,MINION,BT_188
58202,Kayn Sunfury,Ashes of Outland,DEMONHUNTER,4,LEGENDARY,MINION,BT_187
56827,Nagrand Slam,Ashes of Outland,HUNTER,10,EPIC,SPELL,BT_163
56824,Rustsworn Cultist,Ashes of Outland,NEUTRAL,4,COMMON,MINION,BT_160
56823,Terrorguard Escapee,Ashes of Outland,NEUTRAL,3,COMMON,MINION,BT_159
56820,Imprisoned Vilefiend,Ashes of Outland,NEUTRAL,2,COMMON,MINION,BT_156
56819,Scrapyard Colossus,Ashes of Outland,NEUTRAL,10,RARE,MINION,BT_155
56734,Bonechewer Raider,Ashes of Outland,WARRIOR,3,COMMON,MINION,BT_140
56694,Mok'Nathal Lion,Ashes of Outland,HUNTER,4,RARE,MINION,BT_212
56732,Bloodboil Brute,Ashes of Outland,WARRIOR,7,RARE,MINION,BT_138
56703,Scavenger's Ingenuity,Ashes of Outland,HUNTER,2,COMMON,SPELL,BT_213
57619,The Lurker Below,Ashes of Outland,SHAMAN,6,LEGENDARY,MINION,BT_230
56985,Netherwalker,Ashes of Outland,DEMONHUNTER,2,COMMON,MINION,BT_321
56534,Kanrethad Ebonlocke,Ashes of Outland,WARLOCK,2,LEGENDARY,MINION,BT_309
56523,Darkglare,Ashes of Outland,WARLOCK,3,EPIC,MINION,BT_307
56519,Imprisoned Scrap Imp,Ashes of Outland,WARLOCK,2,RARE,MINION,BT_305
56516,Enhanced Dreadlord,Ashes of Outland,WARLOCK,8,RARE,MINION,BT_304
56511,The Dark Portal,Ashes of Outland,WARLOCK,4,RARE,SPELL,BT_302
56502,Nightshade Matron,Ashes of Outland,WARLOCK,4,COMMON,MINION,BT_301
56501,Hand of Gul'dan,Ashes of Outland,WARLOCK,6,COMMON,SPELL,BT_300
57217,Apexis Blast,Ashes of Outland,MAGE,5,EPIC,SPELL,BT_291
56632,Dragonmaw Sentinel,Ashes of Outland,PRIEST,2,RARE,MINION,BT_262
56624,Imprisoned Homunculus,Ashes of Outland,PRIEST,1,COMMON,MINION,BT_258
56623,Apotheosis,Ashes of Outland,PRIEST,3,COMMON,SPELL,BT_257
56681,Dragonmaw Overseer,Ashes of Outland,PRIEST,3,RARE,MINION,BT_256
56622,Kael'thas Sunstrider,Ashes of Outland,NEUTRAL,7,LEGENDARY,MINION,BT_255
56603,Sethekk Veilweaver,Ashes of Outland,PRIEST,2,EPIC,MINION,BT_254
56598,Psyche Split,Ashes of Outland,PRIEST,5,RARE,SPELL,BT_253
56595,Renew,Ashes of Outland,PRIEST,1,COMMON,SPELL,BT_252
57165,Scrap Golem,Ashes of Outland,WARRIOR,5,RARE,MINION,BT_249
57718,Sword and Board,Ashes of Outland,WARRIOR,1,COMMON,SPELL,BT_233
56758,Beastmaster Leoroxx,Ashes of Outland,HUNTER,8,LEGENDARY,MINION,BT_214
57476,Lady Liadrin,Ashes of Outland,PALADIN,7,LEGENDARY,MINION,BT_334
56689,Archspore Msshi'fn,Ashes of Outland,DRUID,3,LEGENDARY,MINION,BT_136
56686,Bogbeam,Ashes of Outland,DRUID,3,COMMON,SPELL,BT_134
57145,Bamboozle,Ashes of Outland,ROGUE,2,EPIC,SPELL,BT_042
56717,Astromancer Solarian,Ashes of Outland,MAGE,2,LEGENDARY,MINION,BT_028
56556,Aldor Truthseeker,Ashes of Outland,PALADIN,5,RARE,MINION,BT_026
56555,Libram of Wisdom,Ashes of Outland,PALADIN,2,RARE,SPELL,BT_025
56554,Libram of Hope,Ashes of Outland,PALADIN,9,EPIC,SPELL,BT_024
56461,Apexis Smuggler,Ashes of Outland,MAGE,2,EPIC,MINION,BT_022
56460,Font of Power,Ashes of Outland,MAGE,1,RARE,SPELL,BT_021
56445,Aldor Attendant,Ashes of Outland,PALADIN,2,COMMON,MINION,BT_020
56444,Murgur Murgurgle,Ashes of Outland,PALADIN,2,LEGENDARY,MINION,BT_019
56443,Underlight Angling Rod,Ashes of Outland,PALADIN,3,EPIC,WEAPON,BT_018
56439,Starscryer,Ashes of Outland,MAGE,2,COMMON,MINION,BT_014
56394,Libram of Justice,Ashes of Outland,PALADIN,5,COMMON,SPELL,BT_011
56393,Felfin Navigator,Ashes of Outland,NEUTRAL,4,COMMON,MINION,BT_010
56392,Imprisoned Sungill,Ashes of Outland,PALADIN,1,RARE,MINION,BT_009
56391,Rustsworn Initiate,Ashes of Outland,NEUTRAL,2,COMMON,MINION,BT_008
56389,Evocation,Ashes of Outland,MAGE,1,LEGENDARY,SPELL,BT_006
56387,Imprisoned Observer,Ashes of Outland,MAGE,3,RARE,MINION,BT_004
56386,Netherwind Portal,Ashes of Outland,MAGE,3,COMMON,SPELL,BT_003
56385,Incanter's Flow,Ashes of Outland,MAGE,2,COMMON,SPELL,BT_002
57950,Deep Freeze,Ashes of Outland,MAGE,8,RARE,SPELL,BT_072
56687,Glowfly Swarm,Ashes of Outland,DRUID,5,EPIC,SPELL,BT_135
56411,Serpentshrine Portal,Ashes of Outland,SHAMAN,3,COMMON,SPELL,BT_100
