SEASON,NAME,CLASS,CODE,URL,DUST,RATING,UPLOADER,DATE,FORMAT,TYPE,STYLE
1,ManaGrind’s Midrange Shaman,Shaman,AAEBAaoICDNa9gKBBK8E7QX7BeAGC70B7gHvAfkD4QT1BP4F/wWGBrkG8AcA,https://www.hearthstonetopdecks.com/decks/managrinds-midrange-shaman-2/,6020,7,Evident,"May 14, 2014",Kraken,Midrange,Tournament
1,Gaara’s Midrange Hunter,Hunter,AAEBAR8GogLJBIAHxQjZCv4MDI0BqAK1A94EiAXrB5cI2QnbCe0JgQrbCgA=,https://www.hearthstonetopdecks.com/decks/gaaras-midrange-hunter/,880,1,Gaara,"May 2, 2014",Kraken,Midrange,Ladder
1,Danielctin14’s Zoo,Warlock,AAEBAf0GAsQI+AwOMPIB3ALgBPcE9QX7BZYG4gbOB9kHsQjCCOIMAA==,https://www.hearthstonetopdecks.com/decks/danielctin14s-zoo/,3000,0,Danielctin14,"May 2, 2014",Kraken,Control,Ladder
1,Danielctin14’s Midrange/Aggro Rogue,Rogue,AAEBAaIHCLICrwT7BPMFigeoCPgM+QwLtAH7AYwCmQLLA/UF+wWKBrkGiAfdCAA=,https://www.hearthstonetopdecks.com/decks/danielctin14s-midrangeaggro-rogue/,6900,0,Danielctin14,"May 2, 2014",Kraken,Midrange,Ladder
1,Amaz’s Mystic Square – Midrange Druid,Druid,AAEBAZICCKQD7QOTBOYF+wXaBvgMuQ0LQFr+AdkE3QS0BYoGuQbEBvsGmAcA,https://www.hearthstonetopdecks.com/decks/amazs-mystic-square-midrange-druid/,9140,-3,Amaz,"May 2, 2014",Wild,Midrange,Ladder
1,Rdu’s Control Warrior,Warrior,AAEBAQcKS9IC9gKkA5MExQSqBpAH+Az5DAqdApEDogTUBPwEjgWRBv8Hsgj7DAA=,https://www.hearthstonetopdecks.com/decks/rdus-control-warrior/,12640,1,Rdu,"May 2, 2014",Kraken,Control,Ladder
1,Rdu’s Tempo Rogue,Rogue,AAEBAaIHCD2MAs0D7QX1BagI+Az5DAtatAHJAfsBmQLLA/sFiga5BogH3QgA,https://www.hearthstonetopdecks.com/decks/rdus-tempo-rogue/,4940,0,Rdu,"May 2, 2014",Kraken,Tempo,Ladder
1,Strifecro’s Zoo Warlock,Warlock,AAEBAf0GBPIBogLiBsQIDTDcAt0E4AT3BPUF+wWKBvsGzgfZB7EIwggA,https://www.hearthstonetopdecks.com/decks/strifecros-zoo-warlock/,1560,1,StrifeCro,"May 2, 2014",Kraken,Control,Ladder
1,Strifecro’s Midrange Hunter,Hunter,AAEBAR8KhwTeBIAHmQfFCIEK2QrbCv4MnQ0KjQGoArUDyQTrB5cI2QnbCe0J2goA,https://www.hearthstonetopdecks.com/decks/strifecros-midrange-hunter/,2420,0,StrifeCro,"May 2, 2014",Kraken,Midrange,Ladder
1,Forsen’s Warlock Zoo,Warlock,AAEBAf0GBPIB3AKvBNkHDTCZAuAEkgX1BfsFigbOBs4HsQjCCMQI4gwA,https://www.hearthstonetopdecks.com/decks/forsens-warlock-zoo/,3000,0,Forsen,"May 2, 2014",Kraken,Aggro,Ladder
1,Forsen’s Snake Trap Midrange Hunter,Hunter,AAEBAR8GxwOHBK8EgAf+DJ0NDI0BqAK1A8kE3gSIBesHlwjZCdsJ7QmBCgA=,https://www.hearthstonetopdecks.com/decks/forsens-snake-trap-midrange-hunter/,4280,0,Forsen,"May 2, 2014",Kraken,Midrange,Ladder
1,Forsen’s Malyrogue,Rogue,AAEBAaIHBvsBsgK0A5sFxAXtBQy0AcsDzQO9BMYFuQaIB6QHqAjdCIYJ8wwA,https://www.hearthstonetopdecks.com/decks/forsens-malyrogue/,6700,2,Forsen,"May 2, 2014",Kraken,Combo,Ladder
1,Gaara’s Aggro/HandLock,Warlock,AAEBAf0GBpMErwTeBfMFiQbOBgwwkwGiAt0EggX1BfsF+wbOB8IIxAjcCgA=,https://www.hearthstonetopdecks.com/decks/gaaras-aggrohandlock/,6140,0,Gaara,"May 2, 2014",Kraken,Aggro,Ladder
1,DuckWingFACE’s Control Warrior,Warrior,AAEBAQcJ0ALSAvYCkAOkA5MExQSqBrIIClqdApEDogTUBPwEjgWRBv8H+wwA,https://www.hearthstonetopdecks.com/decks/duckwingfaces-control-warrior/,10240,0,DuckWingFace,"May 7, 2014",Kraken,Control,Ladder
1,Puffin’s Aggro Zoo,Warlock,AAEBAf0GBK8ElgbOBuIGDTDyAeAE9wT1BfsFigbOB9kHsQjCCMQI4gwA,https://www.hearthstonetopdecks.com/decks/puffins-aggro-zoo/,3000,4,Puffin,"May 7, 2014",Kraken,Aggro,Ladder
1,Puffin’s Midrange Druid,Druid,AAEBAZICCKQD7QPdBOYF7QXkCPgM+QwLQFr+AdkEtAX7BYoGuQbEBvsGmAcA,https://www.hearthstonetopdecks.com/decks/puffins-midrange-druid/,7540,1,Puffin,"May 7, 2014",Kraken,Ramp,Ladder
1,Puffin’s Midrange Shaman,Shaman,AAEBAaoICiDgAqQDgQT7BO0F9QXgBqQH8AcKvQHuAe8B+QP1BPsF/gX/BYYGuQYA,https://www.hearthstonetopdecks.com/decks/puffins-midrange-shaman/,6580,0,Puffin,"May 8, 2014",Kraken,Midrange,Ladder
1,Kitkatz Control Warrior – Older Version,Warrior,AAEBAQcKS9AC0gL2AqQDkwTFBPsEqgaQBwqdApEDogTUBPwEjgWRBv8Hsgj7DAA=,https://www.hearthstonetopdecks.com/decks/kitkatz-control-warrior-older-version/,12240,1,Kitkatz,"May 13, 2014",Kraken,Control,Tournament
1,Kitkatz Aggro Zoo,Warlock,AAEBAf0GBK8ElgbOBuIGDTDyAeAE9wT1BfsFigbOB9kHsQjCCMQI4gwA,https://www.hearthstonetopdecks.com/decks/kitkatz-aggro-zoo/,3000,0,Kitkatz,"May 13, 2014",Kraken,Aggro,Tournament
1,Kitkatz Midrange Druid,Druid,AAEBAZICCKQD7QPdBOYF7QXkCPgM+QwLQFr+AdkEtAX7BYoGuQbEBvsGmAcA,https://www.hearthstonetopdecks.com/decks/kitkatz-midrange-druid/,7540,1,Kitkatz,"May 13, 2014",Kraken,Midrange,Tournament
